,"ON and
OFF inputs_x","ON and
OFF inputs_y","ON input
only_x","ON input
only_y"
234,-3.398,-0.2500874676576324,-3.398,-0.01889035376199883
235,-3.396,-0.25023645478078826,-3.396,-0.018864398796027
236,-3.394,-0.25038219964246733,-3.394,-0.01883854666814532
237,-3.392,-0.250524707995851,-3.392,-0.018812798935835064
238,-3.39,-0.2506639832161307,-3.39,-0.018787157137227138
239,-3.388,-0.25080002630050774,-3.388,-0.01876162279110209
240,-3.386,-0.2509328358681934,-3.386,-0.018736197396890086
241,-3.3840000000000003,-0.251062634483735,-3.3840000000000003,-0.018710882434670943
242,-3.382,-0.25118994942748446,-3.382,-0.018685679365174103
243,-3.38,-0.25131483945702365,-3.38,-0.01866058962977864
244,-3.378,-0.2514373441696683,-3.378,-0.018635614650513267
245,-3.3760000000000003,-0.2515575027324888,-3.3760000000000003,-0.018610755830056332
246,-3.374,-0.25167535388230977,-3.374,-0.018586014551735808
247,-3.372,-0.25179093592571067,-3.372,-0.01856139217952931
248,-3.37,-0.2519042867390251,-3.37,-0.01853689005806409
249,-3.3680000000000003,-0.25201544376834123,-3.3680000000000003,-0.01851250951261702
250,-3.366,-0.2521244440295018,-3.366,-0.01848825184911462
251,-3.364,-0.2522313241081039,-3.364,-0.018464118354133034
252,-3.362,-0.2523361201594991,-3.362,-0.018440110294898046
253,-3.3600000000000003,-0.2524388679087935,-3.3600000000000003,-0.01841622891928507
254,-3.358,-0.2525396026508477,-3.358,-0.018392475455819162
255,-3.356,-0.2526383592502766,-3.356,-0.018368851113675
256,-3.354,-0.2527351721414498,-3.354,-0.018345357082676903
257,-3.3520000000000003,-0.25283007532849117,-3.3520000000000003,-0.01832199453329882
258,-3.35,-0.2529231023852792,-3.35,-0.01829876461666434
259,-3.348,-0.25301428645544677,-3.348,-0.018275668464546677
260,-3.346,-0.2531036602523812,-3.346,-0.01825270718936869
261,-3.3440000000000003,-0.2531912560592244,-3.3440000000000003,-0.018229881884202864
262,-3.342,-0.25327710572887263,-3.342,-0.018207193622771317
263,-3.34,-0.2533612406839767,-3.34,-0.018184643459445805
264,-3.338,-0.2534436919169419,-3.338,-0.018162232429247718
265,-3.3360000000000003,-0.2535244899899278,-3.3360000000000003,-0.018139961547848076
266,-3.334,-0.2536036650348488,-3.334,-0.018117831811567536
267,-3.332,-0.25368124675337345,-3.332,-0.01809584419737639
268,-3.33,-0.25375726441692487,-3.33,-0.01807399966289456
269,-3.3280000000000003,-0.2538317468666807,-3.3280000000000003,-0.0180522991463916
270,-3.326,-0.25390472251357304,-3.326,-0.018030743566786706
271,-3.324,-0.2539762193382884,-3.324,-0.018009333823648704
272,-3.322,-0.2540462648912678,-3.322,-0.01798807079719605
273,-3.3200000000000003,-0.2541148862927068,-3.3200000000000003,-0.017966955348296842
274,-3.318,-0.25418211023255527,-3.318,-0.017945988318468803
275,-3.316,-0.25424796297051766,-3.316,-0.017925170529879297
276,-3.314,-0.2543124703360529,-3.314,-0.017904502785345316
277,-3.3120000000000003,-0.25437565772837434,-3.3120000000000003,-0.01788398586833349
278,-3.31,-0.25443755011644986,-3.31,-0.01786362054296008
279,-3.308,-0.2544981720390017,-3.308,-0.017843407553990984
280,-3.306,-0.2545575476045068,-3.306,-0.017823347626841735
281,-3.3040000000000003,-0.25461570049119625,-3.3040000000000003,-0.01780344146757749
282,-3.302,-0.2546726539470558,-3.302,-0.01778368976291305
283,-3.3,-0.25472843078982577,-3.3,-0.017764093180212853
284,-3.298,-0.2547830534070007,-3.298,-0.017744652367490954
285,-3.2960000000000003,-0.25483654375582976,-3.2960000000000003,-0.017725367953411064
286,-3.294,-0.2548889233633166,-3.294,-0.017706240547286506
287,-3.292,-0.2549402133262193,-3.292,-0.017687270739080253
288,-3.29,-0.2549904343110504,-3.29,-0.017668459099404905
289,-3.2880000000000003,-0.25503960655407687,-3.2880000000000003,-0.0176498061795227
290,-3.286,-0.25508774986132027,-3.286,-0.017631312511345504
291,-3.2840000000000003,-0.2551348836085566,-3.2840000000000003,-0.017612978607434816
292,-3.282,-0.25518102674131615,-3.282,-0.01759480496100178
293,-3.2800000000000002,-0.255226197774884,-3.2800000000000002,-0.01757679204590716
294,-3.278,-0.2552704147942994,-3.278,-0.017558940316661366
295,-3.2760000000000002,-0.2553136954543562,-3.2760000000000002,-0.017541250208424435
296,-3.274,-0.25535605697960284,-3.274,-0.017523722137006034
297,-3.2720000000000002,-0.25539751616434203,-3.2720000000000002,-0.017506356498865477
298,-3.27,-0.255438089372631,-3.27,-0.017489153671111698
299,-3.2680000000000002,-0.25547779253828157,-3.2680000000000002,-0.01747211401150327
300,-3.266,-0.25551664116485984,-3.266,-0.017455237858448408
301,-3.2640000000000002,-0.2555546503256866,-3.2640000000000002,-0.017438525531004945
302,-3.262,-0.25559183466383684,-3.262,-0.017421977328880362
303,-3.2600000000000002,-0.25562820839214034,-3.2600000000000002,-0.017405593532431762
304,-3.258,-0.25566378529318107,-3.258,-0.017389374402665896
305,-3.2560000000000002,-0.25569857871929763,-3.2560000000000002,-0.017373320612680366
306,-3.254,-0.25573260159258304,-3.254,-0.01735743754881025
307,-3.2520000000000002,-0.2557658664048848,-3.2520000000000002,-0.01734172530367925
308,-3.25,-0.2557983852178049,-3.25,-0.017326182017296896
309,-3.248,-0.2558301696626997,-3.248,-0.01731080584862146
310,-3.246,-0.25586123094068025,-3.246,-0.017295594975559977
311,-3.244,-0.25589157982261185,-3.244,-0.01728054759496823
312,-3.242,-0.2559212266491143,-3.242,-0.01726566192265076
313,-3.24,-0.2559501813305621,-3.24,-0.017250936193360846
314,-3.238,-0.2559784533470838,-3.238,-0.017236368660800538
315,-3.236,-0.25600605174856284,-3.236,-0.01722195759762062
316,-3.234,-0.2560329851546369,-3.234,-0.01720770129542064
317,-3.232,-0.25605926175469823,-3.232,-0.0171935980647489
318,-3.23,-0.25608488930789347,-3.23,-0.017179646235102444
319,-3.228,-0.2561098751431237,-3.228,-0.017165844154927074
320,-3.226,-0.2561342261590447,-3.226,-0.017152190191617345
321,-3.224,-0.2561579488240664,-3.224,-0.017138682731516565
322,-3.222,-0.2561810491763535,-3.222,-0.01712532017991679
323,-3.22,-0.2562035328238249,-3.22,-0.017112100961058828
324,-3.218,-0.2562254049441542,-3.218,-0.017099023518132243
325,-3.216,-0.25624667028476933,-3.216,-0.017086086313275354
326,-3.214,-0.2562673331628528,-3.214,-0.017073287827575227
327,-3.212,-0.25628739989502897,-3.212,-0.017060626561067677
328,-3.21,-0.25630702293004526,-3.21,-0.017048101032737278
329,-3.208,-0.25632629364729714,-3.208,-0.017035709780517355
330,-3.206,-0.2563452153958203,-3.206,-0.017023451361289983
331,-3.204,-0.2563637915213235,-3.204,-0.01701132435088599
332,-3.202,-0.2563820253661889,-3.202,-0.01699932734408496
333,-3.2,-0.25639992026947195,-3.2,-0.01698745895461522
334,-3.198,-0.2564174795669011,-3.198,-0.01697571781515386
335,-3.196,-0.25643470659087814,-3.196,-0.016964102577326712
336,-3.194,-0.2564516046704783,-3.194,-0.01695261191170837
337,-3.192,-0.2564681771314498,-3.192,-0.016941244507822174
338,-3.19,-0.2564844272962143,-3.19,-0.01692999907414022
339,-3.188,-0.25650035848386654,-3.188,-0.01691887433808335
340,-3.186,-0.2565159740101746,-3.186,-0.016907869046021165
341,-3.184,-0.2565312771875798,-3.184,-0.016896981963272016
342,-3.182,-0.2565462713251967,-3.182,-0.016886211874103003
343,-3.18,-0.25656095972881304,-3.18,-0.016875557581729983
344,-3.178,-0.2565753457008899,-3.178,-0.016865017908317567
345,-3.176,-0.2565894325405616,-3.176,-0.016854591694979104
346,-3.174,-0.25660322354363563,-3.174,-0.016844277801776716
347,-3.172,-0.2566167220025928,-3.172,-0.016834075107721263
348,-3.17,-0.25662993120658706,-3.17,-0.016823982510772363
349,-3.168,-0.2566428544414458,-3.168,-0.01681399892783838
350,-3.166,-0.2566554949896694,-3.166,-0.01680412329477644
351,-3.164,-0.2566678561304317,-3.164,-0.01679435456639241
352,-3.162,-0.25667994113957965,-3.162,-0.01678469171644092
353,-3.16,-0.25669175328963356,-3.16,-0.016775133737625347
354,-3.1580000000000004,-0.2567032958497869,-3.1580000000000004,-0.016765679641597815
355,-3.156,-0.2567145720859064,-3.156,-0.016756328458959212
356,-3.154,-0.2567255852605321,-3.154,-0.01674707923925917
357,-3.152,-0.2567363386328771,-3.152,-0.016737931050996076
358,-3.1500000000000004,-0.2567468354588279,-3.1500000000000004,-0.016728882981617066
359,-3.148,-0.2567570789909444,-3.148,-0.01671993413751803
