,"_ON input
only_x","_ON input
only_y"
277,-3.3120000000000003,-0.01788398586833349
278,-3.31,-0.01786362054296008
279,-3.308,-0.017843407553990984
280,-3.306,-0.017823347626841735
281,-3.3040000000000003,-0.01780344146757749
282,-3.302,-0.01778368976291305
283,-3.3,-0.017764093180212853
284,-3.298,-0.017744652367490954
285,-3.2960000000000003,-0.017725367953411064
286,-3.294,-0.017706240547286506
287,-3.292,-0.017687270739080253
288,-3.29,-0.017668459099404905
289,-3.2880000000000003,-0.0176498061795227
290,-3.286,-0.017631312511345504
291,-3.2840000000000003,-0.017612978607434816
292,-3.282,-0.01759480496100178
293,-3.2800000000000002,-0.01757679204590716
294,-3.278,-0.017558940316661366
295,-3.2760000000000002,-0.017541250208424435
296,-3.274,-0.017523722137006034
297,-3.2720000000000002,-0.017506356498865477
298,-3.27,-0.017489153671111698
299,-3.2680000000000002,-0.01747211401150327
300,-3.266,-0.017455237858448408
301,-3.2640000000000002,-0.017438525531004945
302,-3.262,-0.017421977328880362
303,-3.2600000000000002,-0.017405593532431762
304,-3.258,-0.017389374402665896
305,-3.2560000000000002,-0.017373320612680366
306,-3.254,-0.01735743754881025
307,-3.2520000000000002,-0.01734172530367925
308,-3.25,-0.017326182017296896
309,-3.248,-0.01731080584862146
310,-3.246,-0.017295594975559977
311,-3.244,-0.01728054759496823
312,-3.242,-0.01726566192265076
313,-3.24,-0.017250936193360846
314,-3.238,-0.017236368660800538
315,-3.236,-0.01722195759762062
316,-3.234,-0.01720770129542064
317,-3.232,-0.0171935980647489
318,-3.23,-0.017179646235102444
319,-3.228,-0.017165844154927074
320,-3.226,-0.017152190191617345
321,-3.224,-0.017138682731516565
322,-3.222,-0.01712532017991679
323,-3.22,-0.017112100961058828
324,-3.218,-0.017099023518132243
325,-3.216,-0.017086086313275354
326,-3.214,-0.017073287827575227
327,-3.212,-0.017060626561067677
328,-3.21,-0.017048101032737278
329,-3.208,-0.017035709780517355
330,-3.206,-0.017023451361289983
331,-3.204,-0.01701132435088599
332,-3.202,-0.01699932734408496
333,-3.2,-0.01698745895461522
334,-3.198,-0.01697571781515386
335,-3.196,-0.016964102577326712
336,-3.194,-0.01695261191170837
337,-3.192,-0.016941244507822174
338,-3.19,-0.01692999907414022
339,-3.188,-0.01691887433808335
340,-3.186,-0.016907869046021165
341,-3.184,-0.016896981963272016
342,-3.182,-0.016886211874103003
343,-3.18,-0.016875557581729983
344,-3.178,-0.016865017908317567
345,-3.176,-0.016854591694979104
346,-3.174,-0.016844277801776716
347,-3.172,-0.016834075107721263
348,-3.17,-0.016823982510772363
349,-3.168,-0.01681399892783838
350,-3.166,-0.01680412329477644
351,-3.164,-0.01679435456639241
352,-3.162,-0.01678469171644092
353,-3.16,-0.016775133737625347
354,-3.1580000000000004,-0.016765679641597815
355,-3.156,-0.016756328458959212
356,-3.154,-0.01674707923925917
357,-3.152,-0.016737931050996076
358,-3.1500000000000004,-0.016728882981617066
359,-3.148,-0.01671993413751803
360,-3.146,-0.01671108364404362
361,-3.144,-0.016702330645487217
362,-3.1420000000000003,-0.016693674305090975
363,-3.14,-0.0166851138050458
364,-3.138,-0.01667664834649133
365,-3.136,-0.01666827714951598
366,-3.1340000000000003,-0.016659999453156906
367,-3.132,-0.016651814515400012
368,-3.13,-0.01664372161317996
369,-3.128,-0.01663572004238016
370,-3.1260000000000003,-0.016627809117832782
371,-3.124,-0.016619988173318744
372,-3.122,-0.016612256561567708
373,-3.12,-0.016604613654258103
374,-3.1180000000000003,-0.016597058842017103
375,-3.116,-0.01658959153442063
376,-3.114,-0.016582211159993365
377,-3.112,-0.016574917166208743
378,-3.1100000000000003,-0.016567709019488938
379,-3.108,-0.01656058620520489
380,-3.106,-0.016553548227676285
381,-3.104,-0.016546594610171567
382,-3.1020000000000003,-0.01653972489490792
383,-3.1,-0.016532938643051297
384,-3.098,-0.016526235434716388
385,-3.096,-0.016519614868966644
386,-3.0940000000000003,-0.016513076563814264
387,-3.092,-0.016506620156220207
388,-3.09,-0.01650024530209417
389,-3.088,-0.016493951676294614
390,-3.0860000000000003,-0.016487738972628747
391,-3.084,-0.016481606903852534
392,-3.082,-0.01647555520167069
393,-3.08,-0.016469583616736675
394,-3.0780000000000003,-0.016463691918652715
395,-3.076,-0.016457879895969776
396,-3.074,-0.016452147356187583
397,-3.072,-0.01644649412575461
398,-3.0700000000000003,-0.016440920050068086
399,-3.068,-0.01643542344531326
400,-3.066,-0.016429982398128606
401,-3.064,-0.016424590138960055
402,-3.0620000000000003,-0.01641924703974722
403,-3.06,-0.016413953458033013
404,-3.058,-0.01640870973696362
405,-3.056,-0.0164035162052885
406,-3.0540000000000003,-0.016398373177360415
407,-3.052,-0.01639328095313539
408,-3.05,-0.01638823981817274
409,-3.048,-0.016383250043635063
410,-3.0460000000000003,-0.01637831188628823
411,-3.044,-0.016373425588501408
412,-3.042,-0.01636859137824703
413,-3.04,-0.016363809469100824
414,-3.0380000000000003,-0.016359080060241792
415,-3.036,-0.016354403336452224
416,-3.034,-0.01634977946811769
417,-3.032,-0.01634520861122703
418,-3.0300000000000002,-0.016340690907372387
419,-3.028,-0.016336226483749168
420,-3.0260000000000002,-0.016331815453156075
421,-3.024,-0.01632745791399508
422,-3.0220000000000002,-0.016323153950271445
423,-3.02,-0.01631890363159371
424,-3.0180000000000002,-0.0163147070131737
425,-3.016,-0.01631056413582652
426,-3.0140000000000002,-0.016306475025970553
427,-3.012,-0.016302439695627474
428,-3.0100000000000002,-0.01629845814242223
429,-3.008,-0.01629453034958305
