,control_x,control_y,strychnine_x,strychnine_y
129,-1.2199999999999998,0.0,-1.2199999999999998,0.8333333333333333
130,-1.1999999999999997,0.0,-1.1999999999999997,0.8333333333333333
131,-1.1799999999999997,0.0,-1.1799999999999997,0.0
132,-1.1599999999999997,0.0,-1.1599999999999997,0.0
133,-1.1399999999999997,0.0,-1.1399999999999997,0.0
134,-1.1199999999999997,0.0,-1.1199999999999997,0.0
135,-1.0999999999999996,0.0,-1.0999999999999996,0.0
136,-1.0799999999999996,0.0,-1.0799999999999996,0.0
137,-1.0599999999999996,0.0,-1.0599999999999996,0.0
138,-1.0399999999999996,0.0,-1.0399999999999996,0.0
139,-1.0199999999999996,0.0,-1.0199999999999996,0.0
140,-0.9999999999999996,0.0,-0.9999999999999996,0.0
141,-0.98,0.0,-0.98,0.0
142,-0.96,0.0,-0.96,0.0
143,-0.94,0.0,-0.94,0.0
144,-0.9199999999999999,0.0,-0.9199999999999999,0.0
145,-0.8999999999999999,0.0,-0.8999999999999999,0.0
146,-0.8799999999999999,0.0,-0.8799999999999999,0.0
147,-0.8599999999999999,0.0,-0.8599999999999999,0.0
148,-0.8399999999999999,0.0,-0.8399999999999999,0.0
149,-0.8199999999999998,0.0,-0.8199999999999998,0.0
150,-0.7999999999999998,0.0,-0.7999999999999998,0.0
151,-0.7799999999999998,0.0,-0.7799999999999998,0.0
152,-0.7599999999999998,0.0,-0.7599999999999998,0.0
153,-0.7399999999999998,0.0,-0.7399999999999998,0.0
154,-0.7199999999999998,0.0,-0.7199999999999998,0.8333333333333333
155,-0.6999999999999997,0.0,-0.6999999999999997,0.0
156,-0.6799999999999997,0.0,-0.6799999999999997,0.0
157,-0.6599999999999997,0.0,-0.6599999999999997,0.0
158,-0.6399999999999997,0.0,-0.6399999999999997,0.0
159,-0.6199999999999997,0.0,-0.6199999999999997,0.0
160,-0.5999999999999996,0.0,-0.5999999999999996,0.0
161,-0.5799999999999996,0.0,-0.5799999999999996,0.0
162,-0.5599999999999996,0.0,-0.5599999999999996,0.0
163,-0.5399999999999996,0.0,-0.5399999999999996,0.0
164,-0.5199999999999996,0.0,-0.5199999999999996,0.0
165,-0.49999999999999956,0.0,-0.49999999999999956,0.0
