,dynamic_x,dynamic_y,fixed_x,fixed_y
715,-1.292,-0.2573138884748205,-1.292,-0.25853532816275665
716,-1.29,-0.25731432809830096,-1.29,-0.25853605281727976
717,-1.288,-0.257313935833226,-1.288,-0.258535956585152
718,-1.286,-0.25731267520110107,-1.286,-0.2585350031346366
719,-1.284,-0.25731050919242726,-1.284,-0.25853315560282947
720,-1.282,-0.25730740026670135,-1.282,-0.25853037659565886
721,-1.28,-0.2573033103524156,-1.28,-0.2585266281878857
722,-1.278,-0.25729820084705807,-1.278,-0.2585218719231034
723,-1.276,-0.2572920326171123,-1.276,-0.25851606881373795
724,-1.274,-0.2572850786677815,-1.274,-0.25850930425468316
725,-1.272,-0.25727768551270525,-1.272,-0.2585020431291696
726,-1.27,-0.2572698824643776,-1.27,-0.25849435926348363
727,-1.268,-0.2572616981673441,-1.268,-0.25848628161414816
728,-1.266,-0.2572531607528555,-1.266,-0.2584778386225501
729,-1.264,-0.257244297838867,-1.264,-0.2584690582149402
730,-1.262,-0.2572351365300388,-1.262,-0.2584599678024334
731,-1.26,-0.25722570341773615,-1.26,-0.2584505942810084
732,-1.258,-0.2572160245800289,-1.258,-0.25844096403150796
733,-1.256,-0.25720612558169176,-1.256,-0.2584311029196388
734,-1.254,-0.25719603147420445,-1.254,-0.2584210362959715
735,-1.252,-0.25718576679575134,-1.252,-0.2584107889959408
736,-1.25,-0.25717535557122184,-1.25,-0.25840038533984516
737,-1.248,-0.25716482131221013,-1.248,-0.2583898491328472
738,-1.246,-0.2571541870170152,-1.246,-0.2583792036649734
739,-1.244,-0.2571434751706409,-1.244,-0.25836847171111427
740,-1.242,-0.257132707744796,-1.242,-0.2583576755310242
741,-1.24,-0.2571219061978941,-1.24,-0.2583468368693216
742,-1.238,-0.25711109147505357,-1.238,-0.2583359769554888
743,-1.236,-0.25710028400809765,-1.236,-0.25832511650387213
744,-1.234,-0.2570895037155545,-1.234,-0.25831427571368193
745,-1.232,-0.2570787700026571,-1.232,-0.2583034742689924
746,-1.23,-0.25706810176134326,-1.23,-0.2582927313387417
747,-1.228,-0.2570575173702557,-1.228,-0.25828206557673206
748,-1.226,-0.25704703469474177,-1.226,-0.2582714951216296
749,-1.224,-0.257036671086854,-1.224,-0.2582610375969644
750,-1.222,-0.25702644338534963,-1.222,-0.2582507101111305
751,-1.22,-0.2570163679156906,-1.22,-0.25824052925738594
752,-1.218,-0.2570064604900439,-1.218,-0.25823051111385265
753,-1.216,-0.2569967364072812,-1.216,-0.2582206712435166
754,-1.214,-0.2569872104529793,-1.214,-0.25821102469422774
755,-1.212,-0.25697789689941947,-1.212,-0.25820158599869986
756,-1.21,-0.25696880950558815,-1.21,-0.2581923691745108
757,-1.208,-0.2569599615171764,-1.208,-0.25818338772410243
758,-1.206,-0.2569513656665804,-1.206,-0.2581746546347804
759,-1.204,-0.2569430341729008,-1.204,-0.25816618237871447
760,-1.202,-0.2569349787419435,-1.202,-0.25815798291293823
761,-1.2,-0.2569272105662189,-1.2,-0.25815006767934945
762,-1.198,-0.2569197403249425,-1.198,-0.25814244760470967
763,-1.196,-0.2569125781840346,-1.196,-0.25813513310064445
764,-1.194,-0.25690573379612025,-1.194,-0.25812813406364327
765,-1.192,-0.25689921630052936,-1.192,-0.2581214598750597
766,-1.19,-0.2568930343232968,-1.19,-0.2581151194011111
767,-1.188,-0.25688719597716225,-1.188,-0.2581091209928789
768,-1.186,-0.25688170886157013,-1.186,-0.25810347248630855
769,-1.184,-0.25687658006266983,-1.184,-0.2580981812022093
770,-1.182,-0.2568718161533156,-1.182,-0.2580932539462545
771,-1.18,-0.2568674231930665,-1.18,-0.2580886970089813
