,_V_I_OFF_x,_V_I_OFF_y
595,-1.532,0.04944069583248516
596,-1.53,0.04944110661626029
597,-1.528,0.0494415267649439
598,-1.526,0.049441955302302776
599,-1.524,0.04944239127140633
600,-1.522,0.04944283373462659
601,-1.52,0.049443281773638194
602,-1.518,0.049443734489418405
603,-1.516,0.04944419100224709
604,-1.514,0.04944465045170674
605,-1.512,0.04944511199668245
606,-1.51,0.049445574815361944
607,-1.508,0.04944603810523554
608,-1.506,0.04944650108309619
609,-1.504,0.04944696298503946
610,-1.502,0.04944742306646351
611,-1.5,0.049447880602069144
612,-1.498,0.04944833488585976
613,-1.496,0.04944878523114137
614,-1.494,0.049449230970522624
615,-1.492,0.04944967145591476
616,-1.49,0.04945010605853164
617,-1.488,0.04945053416888975
618,-1.486,0.04945095519680817
619,-1.484,0.049451368571408624
620,-1.482,0.04945177374111542
621,-1.48,0.04945217017365552
622,-1.478,0.04945255735605844
623,-1.476,0.04945293479465637
624,-1.474,0.04945330201508409
625,-1.472,0.04945365856227899
626,-1.47,0.04945400400048109
627,-1.468,0.04945433791323301
628,-1.466,0.049454659903379994
629,-1.464,0.04945496959306989
630,-1.462,0.04945526662375318
631,-1.46,0.049455550656182935
632,-1.458,0.04945582137041487
633,-1.456,0.04945607846580729
634,-1.454,0.04945632166102113
635,-1.452,0.049456550694019934
636,-1.45,0.04945676532206986
637,-1.448,0.049456965321739675
638,-1.446,0.04945715048890077
639,-1.444,0.04945732063872716
640,-1.442,0.04945747560569546
641,-1.44,0.04945761524358489
642,-1.438,0.049457739425477314
643,-1.436,0.04945784804375718
644,-1.434,0.04945794101011158
645,-1.432,0.049458018255530194
646,-1.43,0.04945807973030533
647,-1.428,0.04945812540403192
648,-1.426,0.04945815526560749
649,-1.424,0.0494581693232322
650,-1.422,0.04945816760440881
651,-1.42,0.0494581501559427
652,-1.418,0.049458117043941874
653,-1.416,0.04945806835381693
654,-1.414,0.0494580041902811
655,-1.412,0.04945792467735023
656,-1.41,0.04945782995834277
657,-1.408,0.04945772019587978
658,-1.406,0.04945759557188496
659,-1.404,0.049457456287584606
660,-1.402,0.04945730256350762
661,-1.4,0.04945713463948554
662,-1.398,0.049456952774652514
663,-1.396,0.04945675724744529
664,-1.394,0.049456548355603244
665,-1.392,0.04945632641616837
666,-1.39,0.049456091765485266
667,-1.388,0.04945584475920115
668,-1.386,0.04945558577226586
669,-1.384,0.04945531519893183
670,-1.382,0.04945503345275413
671,-1.38,0.04945474096659044
672,-1.378,0.04945443819260104
673,-1.376,0.04945412560224885
674,-1.3739999999999999,0.04945380368629938
675,-1.3719999999999999,0.049453472954820776
676,-1.3699999999999999,0.04945313393718378
677,-1.3679999999999999,0.04945278718206175
678,-1.3659999999999999,0.04945243325743069
679,-1.3639999999999999,0.049452072750569176
680,-1.3619999999999999,0.04945170626805843
681,-1.3599999999999999,0.04945133443578226
682,-1.3579999999999999,0.04945095789892711
683,-1.3559999999999999,0.04945057732198205
684,-1.3539999999999999,0.04945019338873873
685,-1.3519999999999999,0.04944980680229145
686,-1.3499999999999999,0.049449418285037086
687,-1.3479999999999999,0.049449028578675176
688,-1.3459999999999999,0.049448638444207826
689,-1.3439999999999999,0.049448248661939795
690,-1.3419999999999999,0.049447860031478434
691,-1.3399999999999999,0.04944747337173372
692,-1.3379999999999999,0.04944708952091823
693,-1.3359999999999999,0.04944670933654718
694,-1.3339999999999999,0.04944633369543837
695,-1.3319999999999999,0.04944596349371225
696,-1.3299999999999998,0.04944559964679184
697,-1.3279999999999998,0.04944524308940283
698,-1.3259999999999998,0.049444894775573484
699,-1.3239999999999998,0.04944455567863469
700,-1.3219999999999998,0.04944422679121995
701,-1.3199999999999998,0.049443909125265396
702,-1.3179999999999998,0.04944360371200975
703,-1.3159999999999998,0.049443311601994375
704,-1.314,0.04944303386506323
705,-1.312,0.04944277159036288
706,-1.31,0.04944252588634254
707,-1.308,0.049442297880754014
708,-1.306,0.049442088720651714
709,-1.304,0.04944189957239269
710,-1.302,0.0494417316216366
711,-1.3,0.0494415860733457
712,-1.298,0.049441464151784874
713,-1.296,0.04944136710052162
714,-1.294,0.049441296182426056
715,-1.292,0.04944125267967091
716,-1.29,0.04944123789373152
717,-1.288,0.04944125314538583
718,-1.286,0.04944129977471444
719,-1.284,0.049441379141100514
720,-1.282,0.04944149262322986
721,-1.28,0.04944164161909089
722,-1.278,0.04944182754597464
723,-1.276,0.04944205184047475
724,-1.274,0.04944230245880014
725,-1.272,0.04944256464383956
726,-1.27,0.049442837574805956
727,-1.268,0.049443120452073726
728,-1.266,0.049443412490443116
729,-1.264,0.04944371291914026
730,-1.262,0.049444020981817154
731,-1.26,0.04944433593655166
732,-1.258,0.049444657055847524
733,-1.256,0.04944498362663435
734,-1.254,0.04944531495026763
735,-1.252,0.04944565034252871
736,-1.25,0.049445989133624794
737,-1.248,0.049446330668189
738,-1.246,0.049446674305280276
739,-1.244,0.049447019418383455
740,-1.242,0.04944736539540925
741,-1.24,0.04944771163869422
742,-1.238,0.04944805756500082
743,-1.236,0.04944840260551737
744,-1.234,0.04944874620585804
745,-1.232,0.049449087826062894
746,-1.23,0.04944942694059786
747,-1.228,0.049449763038354744
748,-1.226,0.049450095622651194
749,-1.224,0.04945042421123076
750,-1.222,0.04945074833626286
751,-1.22,0.04945106754434275
752,-1.218,0.049451381396491606
753,-1.216,0.04945168946815643
754,-1.214,0.04945199134921012
755,-1.212,0.04945228664395143
756,-1.21,0.04945257497110501
757,-1.208,0.049452855963821346
758,-1.206,0.04945312926967682
759,-1.204,0.04945339455067367
760,-1.202,0.04945365148324001
761,-1.2,0.049453899758229836
762,-1.198,0.04945413908092299
763,-1.196,0.049454369171025206
764,-1.194,0.04945458976266808
765,-1.192,0.04945480060440907
766,-1.19,0.04945500145923153
767,-1.188,0.04945519210454465
768,-1.186,0.04945537233218353
769,-1.184,0.0494555419484091
770,-1.182,0.049455700773908186
771,-1.18,0.04945584864379348
772,-1.178,0.04945598540760354
773,-1.176,0.049456110929302806
774,-1.174,0.04945622508728157
775,-1.172,0.04945632777435601
776,-1.17,0.04945641889776817
777,-1.168,0.049456498379185955
778,-1.166,0.049456566154703153
779,-1.164,0.049456622174839426
780,-1.162,0.04945666640454029
781,-1.16,0.04945669882317715
782,-1.158,0.04945671942454727
783,-1.156,0.049456728216873774
784,-1.154,0.049456725222805684
785,-1.152,0.049456710479417874
786,-1.15,0.049456684038211095
787,-1.148,0.04945664596511196
788,-1.146,0.04945659634047297
789,-1.144,0.04945653525907247
790,-1.142,0.04945646283011469
791,-1.14,0.04945637917722975
792,-1.138,0.04945628443847361
793,-1.136,0.04945617876632811
794,-1.134,0.049456062327700966
795,-1.132,0.049455935303925766
796,-1.13,0.04945579789076195
797,-1.128,0.04945565029839486
798,-1.126,0.04945549275143568
799,-1.1239999999999999,0.04945532548892148
800,-1.1219999999999999,0.0494551487643152
801,-1.1199999999999999,0.04945496284550563
802,-1.1179999999999999,0.049454768014807464
803,-1.1159999999999999,0.049454564568961246
804,-1.1139999999999999,0.04945435281913339
805,-1.1119999999999999,0.049454133090916196
806,-1.1099999999999999,0.049453905724327805
807,-1.1079999999999999,0.049453671073812266
808,-1.1059999999999999,0.049453429508239465
809,-1.1039999999999999,0.04945318141090518
810,-1.1019999999999999,0.04945292717953105
811,-1.0999999999999999,0.04945266722626459
812,-1.0979999999999999,0.04945240197767918
813,-1.0959999999999999,0.049452131874774076
