,dynamic_x,dynamic_y,fixed _x,fixed _y
100,-2.522,0.0,-2.522,-0.2371930069813308
101,-2.52,-0.0005726912204568335,-2.52,-0.23777263352280073
102,-2.518,-0.0011316856591672975,-2.518,-0.23833849084183056
103,-2.516,-0.0016773008136426737,-2.516,-0.23889089617994666
104,-2.514,-0.002209851046439004,-2.514,-0.23943016366945666
105,-2.512,-0.002729647586599826,-2.512,-0.2399566043334491
106,-2.51,-0.00323699853106843,-2.51,-0.24047052608579392
107,-2.508,-0.00373220884607095,-2.508,-0.24097223373114218
108,-2.506,-0.004215580368470029,-2.506,-0.24146202896492613
109,-2.504,-0.004687411807091119,-2.504,-0.24194021037335905
110,-2.502,-0.0051479987440212205,-2.502,-0.24240707343343557
111,-2.5,-0.0055976336358811996,-2.5,-0.24286291051293132
112,-2.4979999999999998,-0.006036605815072954,-2.4979999999999998,-0.2433080108704033
113,-2.496,-0.006465201491000716,-2.496,-0.24374266065518954
114,-2.4939999999999998,-0.00688370375126926,-2.4939999999999998,-0.24416714290740918
115,-2.492,-0.007292392562857797,-2.492,-0.24458173755796275
116,-2.4899999999999998,-0.0076915447732712194,-2.4899999999999998,-0.24498672142853165
117,-2.488,-0.00808143411166981,-2.488,-0.24538236823157877
118,-2.4859999999999998,-0.008462331189976607,-2.4859999999999998,-0.24576894857034792
119,-2.484,-0.00883450350396478,-2.484,-0.24614672993886422
120,-2.482,-0.009198215434324336,-2.482,-0.24651597672193387
121,-2.48,-0.009553728247709392,-2.48,-0.24687695019514433
122,-2.4779999999999998,-0.009901300097766713,-2.4779999999999998,-0.24722990852486412
123,-2.476,-0.010241186026145793,-2.476,-0.24757510676824301
124,-2.474,-0.01057363294842184,-2.474,-0.24791279205418562
125,-2.472,-0.010898801684912113,-2.472,-0.248243127064306
126,-2.4699999999999998,-0.011216799864173926,-2.4699999999999998,-0.24856622044799048
127,-2.468,-0.011527736546334127,-2.468,-0.2488821819693172
128,-2.466,-0.011831720755594105,-2.466,-0.24919112135916235
