,_EON_x,_EON_y
479,-2.908,-0.003435397911103765
480,-2.906,-0.003435567128623796
481,-2.904,-0.0034357328828459495
482,-2.902,-0.003435895124809709
483,-2.9000000000000004,-0.00343605380816776
484,-2.898,-0.003436208889185985
485,-2.896,-0.003436360326743458
486,-2.894,-0.0034365080823324616
487,-2.8920000000000003,-0.0034366521200584685
488,-2.89,-0.00343679240664016
489,-2.888,-0.003436928911409405
490,-2.886,-0.003437061606311277
491,-2.8840000000000003,-0.0034371904659040477
492,-2.882,-0.003437315467359186
493,-2.88,-0.0034374365904613555
494,-2.878,-0.003437553817608432
495,-2.8760000000000003,-0.0034376671338114707
496,-2.874,-0.00343777652669474
497,-2.872,-0.0034378819864957014
498,-2.87,-0.003437983506065015
499,-2.8680000000000003,-0.0034380810808665417
500,-2.866,-0.003438174708977334
501,-2.864,-0.0034382643910876518
502,-2.862,-0.00343835013050095
503,-2.8600000000000003,-0.0034384319331338814
504,-2.858,-0.0034385098075162997
505,-2.856,-0.0034385837647912497
506,-2.854,-0.003438653818714981
507,-2.8520000000000003,-0.0034387199856569448
508,-2.85,-0.003438782284599786
509,-2.848,-0.003438840737139348
510,-2.846,-0.003438895367484672
511,-2.8440000000000003,-0.003438946202458
512,-2.842,-0.003438993271494776
513,-2.84,-0.003439036606643634
514,-2.838,-0.0034390762425664106
515,-2.8360000000000003,-0.003439112216538146
516,-2.834,-0.003439144568447069
517,-2.832,-0.003439173340794615
518,-2.83,-0.0034391985786954155
519,-2.8280000000000003,-0.003439220329877299
520,-2.826,-0.0034392386446812917
521,-2.824,-0.0034392535760616252
522,-2.822,-0.003439265179585718
523,-2.8200000000000003,-0.003439273513434201
524,-2.818,-0.0034392786384008917
525,-2.816,-0.003439280617892816
526,-2.814,-0.003439279517930185
527,-2.8120000000000003,-0.003439275407146423
528,-2.81,-0.003439268356788143
529,-2.808,-0.003439258440715163
530,-2.806,-0.0034392457354004945
531,-2.8040000000000003,-0.003439230319930351
532,-2.802,-0.00343921227600414
533,-2.8,-0.0034391916879344744
534,-2.798,-0.0034391686426471606
535,-2.7960000000000003,-0.0034391432296812033
536,-2.794,-0.003439115541188805
537,-2.792,-0.0034390856719353734
538,-2.79,-0.00343905371929951
539,-2.7880000000000003,-0.0034390197832730104
540,-2.786,-0.0034389839664608797
541,-2.784,-0.0034389463740813093
542,-2.782,-0.0034389071139656995
543,-2.7800000000000002,-0.003438866296558641
544,-2.778,-0.0034388240349179297
545,-2.776,-0.0034387804447145523
546,-2.774,-0.003438735644232707
547,-2.7720000000000002,-0.0034386897543697732
548,-2.77,-0.0034386428986363446
549,-2.768,-0.003438595203156203
550,-2.766,-0.0034385467966663343
551,-2.7640000000000002,-0.003438497810516923
552,-2.762,-0.0034384483786713445
553,-2.76,-0.0034383986377061818
554,-2.758,-0.0034383487268112127
555,-2.7560000000000002,-0.003438298787789413
556,-2.754,-0.0034382489650569593
557,-2.752,-0.0034381994056432268
558,-2.75,-0.0034381502591907843
559,-2.748,-0.003438101677955406
560,-2.746,-0.0034380538168060568
561,-2.7439999999999998,-0.0034380068332249096
562,-2.742,-0.0034379608873073286
563,-2.74,-0.0034379161417618757
564,-2.738,-0.003437872761910321
565,-2.7359999999999998,-0.003437830915687619
566,-2.734,-0.0034377907736419383
567,-2.732,-0.0034377525089346293
568,-2.73,-0.003437716297340257
569,-2.7279999999999998,-0.0034376823172465737
570,-2.726,-0.0034376507496545333
571,-2.724,-0.003437621778178291
572,-2.722,-0.0034375955890451997
573,-2.7199999999999998,-0.0034375723710958067
574,-2.718,-0.003437552315783861
575,-2.716,-0.003437535617176312
576,-2.714,-0.0034375224719533047
577,-2.712,-0.003437513079408181
578,-2.71,-0.0034375076414474882
579,-2.708,-0.003437506362590964
580,-2.7060000000000004,-0.0034375094499715514
581,-2.704,-0.003437517113335384
582,-2.702,-0.003437529565041803
583,-2.7,-0.003437547020063346
584,-2.6980000000000004,-0.0034375696959857392
585,-2.696,-0.003437597813007922
586,-2.694,-0.003437631593942024
587,-2.692,-0.0034376712642133767
588,-2.6900000000000004,-0.003437717051860502
589,-2.688,-0.00343776918753513
590,-2.686,-0.0034378255011449366
591,-2.684,-0.003437881651419672
592,-2.6820000000000004,-0.0034379375213325
593,-2.68,-0.0034379930901950913
594,-2.678,-0.003438048337771959
595,-2.676,-0.0034381032442804653
596,-2.6740000000000004,-0.0034381577903908195
597,-2.672,-0.0034382119572260762
598,-2.67,-0.003438265726362133
599,-2.668,-0.0034383190798277403
600,-2.6660000000000004,-0.0034383720001044914
601,-2.664,-0.0034384244701268253
602,-2.662,-0.0034384764732820275
603,-2.66,-0.003438527993410233
604,-2.6580000000000004,-0.0034385790148044187
605,-2.656,-0.003438629522210409
606,-2.654,-0.00343867950082688
607,-2.652,-0.0034387289363053478
608,-2.6500000000000004,-0.003438777814750174
609,-2.648,-0.003438826122718574
610,-2.646,-0.0034388738472206012
611,-2.644,-0.0034389209757191633
612,-2.6420000000000003,-0.0034389674961300097
613,-2.64,-0.0034390133968217294
614,-2.638,-0.0034390586666157748
615,-2.636,-0.0034391032947864338
616,-2.6340000000000003,-0.0034391472710608335
617,-2.632,-0.0034391905856189647
618,-2.63,-0.0034392332290936536
619,-2.628,-0.0034392751925705727
620,-2.6260000000000003,-0.0034393164675882437
621,-2.624,-0.003439357046138035
622,-2.622,-0.003439396920664157
623,-2.62,-0.0034394360840636767
624,-2.6180000000000003,-0.003439474529686494
625,-2.616,-0.0034395122513353645
626,-2.614,-0.0034395492432658867
627,-2.612,-0.0034395855001865053
628,-2.6100000000000003,-0.003439621017258518
629,-2.608,-0.0034396557900960543
630,-2.606,-0.0034396898147661045
631,-2.604,-0.003439723087788501
632,-2.6020000000000003,-0.003439755606135915
633,-2.6,-0.003439787367233875
634,-2.598,-0.0034398183689607516
635,-2.596,-0.0034398486096477617
636,-2.5940000000000003,-0.0034398780880789646
637,-2.592,-0.0034399068034912696
638,-2.59,-0.0034399347555744385
639,-2.588,-0.0034399619444710657
640,-2.5860000000000003,-0.0034399883707766053
641,-2.584,-0.003440014035539351
642,-2.582,-0.003440038940260442
643,-2.58,-0.0034400630868938673
644,-2.5780000000000003,-0.0034400864778464588
645,-2.576,-0.003440109115977901
646,-2.574,-0.003440131004600718
647,-2.572,-0.0034401521474802833
648,-2.5700000000000003,-0.0034401725488348127
