,6 Hz_x,6 Hz_y,8 Hz_x,8 Hz_y,10 Hz_x,10 Hz_y,12 Hz_x,12 Hz_y,16 Hz_x,16 Hz_y
119,-1.75,0.0,-1.75,0.0,-1.75,0.0,-1.75,0.0,-1.75,0.0
120,-1.74,0.0,-1.74,0.0,-1.74,0.0,-1.74,0.0,-1.74,0.0
121,-1.73,0.0,-1.73,0.0,-1.73,0.0,-1.73,0.0,-1.73,0.0
122,-1.72,0.0,-1.72,0.0,-1.72,0.0,-1.72,0.0,-1.72,0.0
123,-1.71,0.0,-1.71,0.0,-1.71,0.0,-1.71,0.0,-1.71,0.0
124,-1.7,0.0,-1.7,0.0,-1.7,0.0,-1.7,0.0,-1.7,0.0
125,-1.69,0.0,-1.69,0.0,-1.69,0.0,-1.69,0.0,-1.69,0.0
126,-1.68,0.0,-1.68,0.0,-1.68,0.0,-1.68,0.0,-1.68,0.0
127,-1.67,0.0,-1.67,0.0,-1.67,0.0,-1.67,0.0,-1.67,0.0
128,-1.66,0.0,-1.66,0.0,-1.66,0.0,-1.66,0.0,-1.66,0.0
129,-1.65,0.0,-1.65,0.0,-1.65,0.0,-1.65,0.0,-1.65,0.0
130,-1.64,0.0,-1.64,0.0,-1.64,0.0,-1.64,0.0,-1.64,0.0
131,-1.63,0.0,-1.63,0.0,-1.63,0.0,-1.63,0.0,-1.63,0.0
132,-1.6199999999999999,0.0,-1.6199999999999999,0.0,-1.6199999999999999,0.0,-1.6199999999999999,0.0,-1.6199999999999999,0.0
133,-1.6099999999999999,0.0,-1.6099999999999999,0.0,-1.6099999999999999,0.0,-1.6099999999999999,0.0,-1.6099999999999999,0.0
134,-1.5999999999999999,0.0,-1.5999999999999999,0.0,-1.5999999999999999,0.0,-1.5999999999999999,0.0,-1.5999999999999999,0.0
135,-1.5899999999999999,0.0,-1.5899999999999999,0.0,-1.5899999999999999,0.0,-1.5899999999999999,0.0,-1.5899999999999999,0.0
136,-1.5799999999999998,0.0,-1.5799999999999998,0.0,-1.5799999999999998,0.0,-1.5799999999999998,0.0,-1.5799999999999998,0.0
137,-1.5699999999999998,0.0,-1.5699999999999998,0.0,-1.5699999999999998,0.0,-1.5699999999999998,0.0,-1.5699999999999998,0.0
138,-1.5599999999999998,0.0,-1.5599999999999998,0.0,-1.5599999999999998,0.0,-1.5599999999999998,0.0,-1.5599999999999998,0.0
139,-1.5499999999999998,0.0,-1.5499999999999998,0.0,-1.5499999999999998,0.0,-1.5499999999999998,0.0,-1.5499999999999998,0.0
140,-1.5399999999999998,0.0,-1.5399999999999998,0.0,-1.5399999999999998,0.0,-1.5399999999999998,0.0,-1.5399999999999998,0.0
141,-1.53,0.0,-1.53,0.0,-1.53,0.0,-1.53,0.0,-1.53,0.0
142,-1.52,0.0,-1.52,0.0,-1.52,0.0,-1.52,0.0,-1.52,0.0
