,_control_x,_control_y,_strychnine_x,_strychnine_y
103,-0.6400000000000001,0.0,-0.6400000000000001,1.6666666666666665
104,-0.6200000000000001,0.0,-0.6200000000000001,2.5
105,-0.6000000000000001,0.0,-0.6000000000000001,2.5
106,-0.5800000000000001,0.8333333333333333,-0.5800000000000001,2.5
107,-0.56,0.8333333333333333,-0.56,2.5
108,-0.54,0.8333333333333333,-0.54,1.6666666666666665
109,-0.52,0.8333333333333333,-0.52,0.8333333333333333
110,-0.5,0.8333333333333333,-0.5,0.0
111,-0.48,0.8333333333333333,-0.48,0.0
112,-0.45999999999999996,0.8333333333333333,-0.45999999999999996,0.0
113,-0.43999999999999995,0.8333333333333333,-0.43999999999999995,0.0
114,-0.41999999999999993,0.8333333333333333,-0.41999999999999993,0.0
115,-0.3999999999999999,1.6666666666666665,-0.3999999999999999,0.0
116,-0.38000000000000034,2.5,-0.38000000000000034,0.0
117,-0.3600000000000003,2.5,-0.3600000000000003,0.0
118,-0.3400000000000003,2.5,-0.3400000000000003,0.0
119,-0.3200000000000003,2.5,-0.3200000000000003,0.8333333333333333
120,-0.30000000000000027,1.6666666666666665,-0.30000000000000027,0.8333333333333333
121,-0.28000000000000025,1.6666666666666665,-0.28000000000000025,0.8333333333333333
122,-0.26000000000000023,1.6666666666666665,-0.26000000000000023,0.8333333333333333
123,-0.2400000000000002,1.6666666666666665,-0.2400000000000002,0.8333333333333333
124,-0.2200000000000002,1.6666666666666665,-0.2200000000000002,0.8333333333333333
125,-0.20000000000000018,1.6666666666666665,-0.20000000000000018,0.0
126,-0.18000000000000016,1.6666666666666665,-0.18000000000000016,0.0
127,-0.16000000000000014,1.6666666666666665,-0.16000000000000014,0.0
128,-0.14000000000000012,1.6666666666666665,-0.14000000000000012,0.0
129,-0.1200000000000001,1.6666666666666665,-0.1200000000000001,0.0
130,-0.10000000000000009,0.8333333333333333,-0.10000000000000009,0.0
131,-0.08000000000000007,0.8333333333333333,-0.08000000000000007,0.0
132,-0.06000000000000005,0.8333333333333333,-0.06000000000000005,0.0
133,-0.040000000000000036,0.8333333333333333,-0.040000000000000036,0.0
134,-0.020000000000000018,0.8333333333333333,-0.020000000000000018,0.0
135,0.0,0.8333333333333333,0.0,0.0
136,0.020000000000000018,0.0,0.020000000000000018,0.0
137,0.040000000000000036,0.0,0.040000000000000036,0.0
138,0.06000000000000005,0.0,0.06000000000000005,0.0
139,0.08000000000000007,0.0,0.08000000000000007,0.0
140,0.10000000000000009,0.0,0.10000000000000009,0.0
141,0.11999999999999966,0.0,0.11999999999999966,0.8333333333333333
142,0.13999999999999968,0.8333333333333333,0.13999999999999968,2.5
143,0.1599999999999997,1.6666666666666665,0.1599999999999997,4.166666666666666
144,0.17999999999999972,2.5,0.17999999999999972,5.0
145,0.19999999999999973,4.166666666666666,0.19999999999999973,5.0
146,0.21999999999999975,5.833333333333333,0.21999999999999975,4.166666666666666
147,0.23999999999999977,8.333333333333332,0.23999999999999977,3.333333333333333
148,0.2599999999999998,10.833333333333334,0.2599999999999998,3.333333333333333
149,0.2799999999999998,14.166666666666666,0.2799999999999998,5.833333333333333
150,0.2999999999999998,18.333333333333332,0.2999999999999998,9.166666666666666
151,0.31999999999999984,21.666666666666668,0.31999999999999984,15.0
152,0.33999999999999986,25.833333333333336,0.33999999999999986,21.666666666666668
153,0.3599999999999999,29.166666666666668,0.3599999999999999,29.166666666666668
154,0.3799999999999999,32.5,0.3799999999999999,34.166666666666664
155,0.3999999999999999,34.166666666666664,0.3999999999999999,35.833333333333336
156,0.41999999999999993,35.0,0.41999999999999993,35.0
157,0.43999999999999995,35.0,0.43999999999999995,30.833333333333336
158,0.45999999999999996,34.166666666666664,0.45999999999999996,25.0
159,0.48,32.5,0.48,19.166666666666668
160,0.5,30.833333333333336,0.5,14.166666666666666
