,_n_OFF_x,_n_OFF_y
161,-3.544,0.9963453472727507
162,-3.5420000000000003,0.9963356058402822
163,-3.54,0.9963260129553623
164,-3.5380000000000003,0.9963165676925416
165,-3.536,0.9963072692028558
166,-3.5340000000000003,0.9962981167138247
167,-3.532,0.9962891095294528
168,-3.5300000000000002,0.996280247030229
169,-3.528,0.9962715286731271
170,-3.5260000000000002,0.9962629539916049
171,-3.524,0.9962545225956052
172,-3.5220000000000002,0.9962462341715551
173,-3.52,0.9962380884823663
174,-3.5180000000000002,0.9962300853674351
175,-3.516,0.9962222244689449
176,-3.5140000000000002,0.9962144967863734
177,-3.512,0.9962068962900807
178,-3.5100000000000002,0.9961994207175692
179,-3.508,0.9961920678426798
180,-3.5060000000000002,0.9961848354755918
181,-3.504,0.9961777214628227
182,-3.5020000000000002,0.9961707236872288
183,-3.5,0.9961638400680045
184,-3.498,0.9961570685606828
185,-3.496,0.9961504071571349
186,-3.494,0.9961438538855706
187,-3.492,0.9961374068105381
188,-3.49,0.996131064032924
189,-3.488,0.9961248236899531
190,-3.486,0.996118683955189
191,-3.484,0.9961126430385334
192,-3.482,0.9961066991862265
193,-3.48,0.9961008506808471
194,-3.478,0.996095095841312
195,-3.476,0.9960894330228767
196,-3.474,0.9960838606171352
197,-3.472,0.9960783770520197
198,-3.47,0.996072980791801
199,-3.468,0.996067670337088
200,-3.466,0.9960624442248284
201,-3.464,0.996057301028308
202,-3.462,0.9960522393571513
203,-3.46,0.9960472578573208
204,-3.458,0.9960423552111181
205,-3.456,0.9960375301371823
206,-3.454,0.9960327813904917
207,-3.452,0.9960281077623626
208,-3.45,0.9960235080804498
209,-3.448,0.9960189812087467
210,-3.446,0.9960145260475848
211,-3.444,0.9960101415336341
212,-3.442,0.9960058266399031
213,-3.44,0.9960015803757388
214,-3.438,0.9959974017868265
215,-3.436,0.9959932899551898
216,-3.434,0.9959892439991908
217,-3.432,0.9959852630735301
218,-3.43,0.9959813463692466
219,-3.428,0.9959774931137179
220,-3.426,0.9959737025706593
221,-3.424,0.9959699740401254
222,-3.422,0.9959663068585086
223,-3.42,0.9959627003985401
224,-3.418,0.995959154069289
225,-3.416,0.9959556673161634
226,-3.414,0.9959522396209094
227,-3.412,0.9959488705016117
228,-3.41,0.9959455595126935
229,-3.408,0.9959423062449162
230,-3.406,0.9959391103253796
231,-3.404,0.9959359714175221
232,-3.402,0.9959328892211204
233,-3.4,0.9959298634722896
234,-3.398,0.9959268939434834
235,-3.396,0.9959239804434936
236,-3.394,0.9959211228174507
237,-3.392,0.9959183209468233
238,-3.39,0.9959155747494188
239,-3.388,0.9959128841793827
240,-3.386,0.9959102492271991
241,-3.3840000000000003,0.9959076665141736
242,-3.382,0.9959051280507975
243,-3.38,0.995902632874892
244,-3.378,0.995900180313031
245,-3.3760000000000003,0.9958977696991305
246,-3.374,0.99589540037445
247,-3.372,0.9958930716875917
248,-3.37,0.9958907829945006
249,-3.3680000000000003,0.9958885336584652
250,-3.366,0.9958863230501162
251,-3.364,0.9958841505474277
252,-3.362,0.9958820155357169
253,-3.3600000000000003,0.9958799174076435
254,-3.358,0.9958778555632103
255,-3.356,0.9958758294097632
256,-3.354,0.995873838361991
257,-3.3520000000000003,0.9958718818419252
258,-3.35,0.9958699592789406
259,-3.348,0.9958680701097548
260,-3.346,0.9958662137784281
261,-3.3440000000000003,0.9958643897363642
262,-3.342,0.9958625974423094
263,-3.34,0.9958608363623531
264,-3.338,0.9958591059699275
265,-3.3360000000000003,0.995857405745808
266,-3.334,0.9958557351781129
