,full model_x,full model_y,"no dynamical
synapse_x","no dynamical
synapse_y"
245,-3.3760000000000003,0.0,-3.3760000000000003,0.0
246,-3.374,0.0,-3.374,0.0
247,-3.372,0.0,-3.372,0.0
248,-3.37,0.0,-3.37,0.0
249,-3.3680000000000003,0.0,-3.3680000000000003,0.0
250,-3.366,0.0,-3.366,0.0
251,-3.364,0.0,-3.364,0.0
252,-3.362,0.0,-3.362,0.0
253,-3.3600000000000003,0.0,-3.3600000000000003,0.0
254,-3.358,0.0,-3.358,0.0
255,-3.356,0.0,-3.356,0.0
256,-3.354,0.0,-3.354,0.0
257,-3.3520000000000003,0.0,-3.3520000000000003,0.0
258,-3.35,0.0,-3.35,0.0
259,-3.348,0.0,-3.348,0.0
260,-3.346,0.0,-3.346,0.0
261,-3.3440000000000003,0.0,-3.3440000000000003,0.0
262,-3.342,0.0,-3.342,0.0
263,-3.34,0.0,-3.34,0.0
264,-3.338,0.0,-3.338,0.0
265,-3.3360000000000003,0.0,-3.3360000000000003,0.0
266,-3.334,0.0,-3.334,0.0
267,-3.332,0.0,-3.332,0.0
268,-3.33,0.0,-3.33,0.0
269,-3.3280000000000003,0.0,-3.3280000000000003,0.0
270,-3.326,0.0,-3.326,0.0
271,-3.324,0.0,-3.324,0.0
272,-3.322,0.0,-3.322,0.0
273,-3.3200000000000003,0.0,-3.3200000000000003,0.0
274,-3.318,0.0,-3.318,0.0
275,-3.316,0.0,-3.316,0.0
276,-3.314,0.0,-3.314,0.0
277,-3.3120000000000003,0.0,-3.3120000000000003,0.0
278,-3.31,0.0,-3.31,0.0
279,-3.308,0.0,-3.308,0.0
280,-3.306,0.0,-3.306,0.0
281,-3.3040000000000003,0.0,-3.3040000000000003,0.0
282,-3.302,0.0,-3.302,0.0
283,-3.3,0.0,-3.3,0.0
284,-3.298,0.0,-3.298,0.0
285,-3.2960000000000003,0.0,-3.2960000000000003,0.0
286,-3.294,0.0,-3.294,0.0
287,-3.292,0.0,-3.292,0.0
288,-3.29,0.0,-3.29,0.0
289,-3.2880000000000003,0.0,-3.2880000000000003,0.0
290,-3.286,0.0,-3.286,0.0
291,-3.2840000000000003,0.0,-3.2840000000000003,0.0
292,-3.282,0.0,-3.282,0.0
293,-3.2800000000000002,0.0,-3.2800000000000002,0.0
294,-3.278,0.0,-3.278,0.0
295,-3.2760000000000002,0.0,-3.2760000000000002,0.0
296,-3.274,0.0,-3.274,0.0
297,-3.2720000000000002,0.0,-3.2720000000000002,0.0
298,-3.27,0.0,-3.27,0.0
299,-3.2680000000000002,0.0,-3.2680000000000002,0.0
300,-3.266,0.0,-3.266,0.0
301,-3.2640000000000002,0.0,-3.2640000000000002,0.0
302,-3.262,0.0,-3.262,0.0
303,-3.2600000000000002,0.0,-3.2600000000000002,0.0
304,-3.258,0.0,-3.258,0.0
305,-3.2560000000000002,0.0,-3.2560000000000002,0.0
306,-3.254,0.0,-3.254,0.0
307,-3.2520000000000002,0.0,-3.2520000000000002,0.0
308,-3.25,0.0,-3.25,0.0
309,-3.248,0.0,-3.248,0.0
310,-3.246,0.0,-3.246,0.0
311,-3.244,0.0,-3.244,0.0
312,-3.242,0.0,-3.242,0.0
313,-3.24,0.0,-3.24,0.0
314,-3.238,0.0,-3.238,0.0
315,-3.236,0.0,-3.236,0.0
316,-3.234,0.0,-3.234,0.0
317,-3.232,0.0,-3.232,0.0
