,$E^{ON}$_x,$E^{ON}$_y,$I_{}^{ON}$_x,$I_{}^{ON}$_y,$I_{gly}^{OFF}$_x,$I_{gly}^{OFF}$_y
2687,1.5080000000000005,-0.018220743271522157,1.5080000000000005,-0.003465753714973447,1.5080000000000005,0.0046990037959031075
2688,1.5100000000000002,-0.01822071214940679,1.5100000000000002,-0.0034652136403059627,1.5100000000000002,0.004698965410041778
2689,1.512,-0.018220682090383626,1.512,-0.003464684076189356,1.512,0.004698928250198228
2690,1.5139999999999998,-0.018220653137566094,1.5139999999999998,-0.0034641650905112183,1.5139999999999998,0.004698892360367246
2691,1.5159999999999996,-0.018220625332054062,1.5159999999999996,-0.003463656744778408,1.5159999999999996,0.004698857782440211
2692,1.5180000000000002,-0.018220598712933828,1.5180000000000002,-0.003463159094117034,1.5180000000000002,0.004698824556205065
2693,1.52,-0.018220573317278135,1.52,-0.0034626721872724753,1.52,0.004698792719346319
2694,1.5219999999999998,-0.018220549180146157,1.5219999999999998,-0.0034621960666093507,1.5219999999999998,0.0046987623074450785
2695,1.5239999999999996,-0.0182205263345835,1.5239999999999996,-0.003461730768111553,1.5239999999999996,0.004698733353979016
2696,1.5260000000000002,-0.01822050481162222,1.5260000000000002,-0.003461276321382229,1.5260000000000002,0.004698705890322369
2697,1.528,-0.01822048464028079,1.528,-0.003460832749643778,1.528,0.004698679945745972
2698,1.5299999999999998,-0.018220465847564135,1.5299999999999998,-0.0034604000697378637,1.5299999999999998,0.004698655547417205
2699,1.5319999999999996,-0.01822044845846361,1.5319999999999996,-0.0034599782921254027,1.5319999999999996,0.00469863272040006
2700,1.5340000000000003,-0.018220432495957006,1.5340000000000003,-0.003459567420886576,1.5340000000000003,0.0046986114876550675
2701,1.536,-0.01822041798100855,1.536,-0.003459167453720817,1.536,0.004698591870039362
2702,1.5379999999999998,-0.018220404932568907,1.5379999999999998,-0.0034587783819468206,1.5379999999999998,0.004698573886306644
2703,1.5399999999999996,-0.018220393367575173,1.5399999999999996,-0.0034584001905025377,1.5399999999999996,0.004698557553107184
2704,1.5420000000000003,-0.01822038330095089,1.5420000000000003,-0.0034580328579451765,1.5420000000000003,0.004698542884987833
2705,1.544,-0.018220374745606026,1.544,-0.0034576763564512086,1.544,0.004698529894392012
2706,1.5459999999999998,-0.01822036771243699,1.5459999999999998,-0.003457330651816356,1.5459999999999998,0.004698518591659734
2707,1.5479999999999996,-0.018220362210326628,1.5479999999999996,-0.003456995703455607,1.5479999999999996,0.0046985089850275635
2708,1.5500000000000003,-0.018220358246144215,1.5500000000000003,-0.003456671464403198,1.5500000000000003,0.004698501080628657
2709,1.552,-0.018220355824745477,1.552,-0.003456357881312634,1.552,0.004698494882492743
2710,1.5539999999999998,-0.018220354948972558,1.5539999999999998,-0.003456054894456672,1.5539999999999998,0.00469849039254612
2711,1.5559999999999996,-0.018220355619654054,1.5559999999999996,-0.0034557624377273242,1.5559999999999996,0.0046984876106116735
2712,1.5580000000000003,-0.018220357835604984,1.5580000000000003,-0.003455480438635871,1.5580000000000003,0.004698486534408852
2713,1.56,-0.018220361593626812,1.56,-0.0034552088183128424,1.56,0.004698487159553684
2714,1.5619999999999998,-0.018220366888507436,1.5619999999999998,-0.0034549474915080286,1.5619999999999998,0.004698489479558775
2715,1.5639999999999996,-0.01822037371302119,1.5639999999999996,-0.0034546963665904803,1.5639999999999996,0.004698493485833309
2716,1.5660000000000003,-0.01822038205792884,1.5660000000000003,-0.003454455345548498,1.5660000000000003,0.004698499167683043
2717,1.568,-0.018220391911977593,1.568,-0.0034542243239896533,1.568,0.0046985065123102965
2718,1.5699999999999998,-0.018220403261901094,1.5699999999999998,-0.003454003191140767,1.5699999999999998,0.0046985155048139896
2719,1.5719999999999996,-0.01822041609241942,1.5719999999999996,-0.0034537918298479173,1.5719999999999996,0.004698526128189592
2720,1.5740000000000003,-0.01822043038623908,1.5740000000000003,-0.0034535901165764493,1.5740000000000003,0.004698538363329174
2721,1.576,-0.01822044612405303,1.576,-0.0034533979214109514,1.576,0.004698552189021356
2722,1.5779999999999998,-0.018220463284540654,1.5779999999999998,-0.003453215108055286,1.5779999999999998,0.004698567581951356
2723,1.5799999999999996,-0.018220481844367777,1.5799999999999996,-0.003453041533832562,1.5799999999999996,0.004698584516700945
2724,1.5820000000000003,-0.018220501778186654,1.5820000000000003,-0.0034528770496851553,1.5820000000000003,0.004698602965748498
2725,1.584,-0.018220523058635984,1.584,-0.0034527215001746887,1.584,0.004698622899468943
2726,1.5859999999999999,-0.018220545656340893,1.5859999999999999,-0.0034525747234820554,1.5859999999999999,0.004698644286133785
2727,1.5879999999999996,-0.018220569539912954,1.5879999999999996,-0.0034524365514073986,1.5879999999999996,0.004698667091911121
