,_V_OFF_x,_V_OFF_y
545,-2.776,0.0494503455846206
546,-2.774,0.04944984007873627
547,-2.7720000000000002,0.04944933271429828
548,-2.77,0.04944882422534423
549,-2.768,0.049448315363728026
550,-2.766,0.04944780689911981
551,-2.7640000000000002,0.04944729961900602
552,-2.762,0.04944679432868936
553,-2.76,0.049446291851288814
554,-2.758,0.04944579302773963
555,-2.7560000000000002,0.04944529871679334
556,-2.754,0.04944480979501773
557,-2.752,0.0494443271567969
558,-2.75,0.049443851714331175
559,-2.748,0.04944338439763719
560,-2.746,0.04944292615454783
561,-2.7439999999999998,0.04944247795071227
562,-2.742,0.049442040769595956
563,-2.74,0.0494416156124806
564,-2.738,0.0494412034984642
565,-2.7359999999999998,0.049440805464461
566,-2.734,0.04944042256520156
567,-2.732,0.04944005587323268
568,-2.73,0.04943970647891744
569,-2.7279999999999998,0.049439375490435214
570,-2.726,0.04943906403378162
571,-2.724,0.049438773252768575
572,-2.722,0.04943850430902425
573,-2.7199999999999998,0.04943825838199311
574,-2.718,0.04943803666893586
575,-2.716,0.04943784038492953
576,-2.714,0.049437670762867376
577,-2.712,0.049437529053458946
578,-2.71,0.049437416525230066
579,-2.708,0.049437334464522836
580,-2.7060000000000004,0.04943728417549562
581,-2.704,0.04943726698012306
582,-2.702,0.04943728421819608
583,-2.7,0.04943733724732186
584,-2.6980000000000004,0.04943742744292388
585,-2.696,0.049437556198241854
586,-2.694,0.049437724924331815
587,-2.692,0.049437935050066044
588,-2.6900000000000004,0.04943818802213309
589,-2.688,0.04943848530503779
590,-2.686,0.04943881790658165
591,-2.684,0.04943916654672489
592,-2.6820000000000004,0.04943952972248182
593,-2.68,0.04943990636110618
594,-2.678,0.04944029540915431
595,-2.676,0.04944069583248516
596,-2.6740000000000004,0.04944110661626029
597,-2.672,0.0494415267649439
598,-2.67,0.049441955302302776
599,-2.668,0.04944239127140633
600,-2.6660000000000004,0.04944283373462659
601,-2.664,0.049443281773638194
602,-2.662,0.049443734489418405
603,-2.66,0.04944419100224709
604,-2.6580000000000004,0.04944465045170674
605,-2.656,0.04944511199668245
606,-2.654,0.049445574815361944
607,-2.652,0.04944603810523554
608,-2.6500000000000004,0.04944650108309619
609,-2.648,0.04944696298503946
610,-2.646,0.04944742306646351
611,-2.644,0.049447880602069144
612,-2.6420000000000003,0.04944833488585976
613,-2.64,0.04944878523114137
614,-2.638,0.049449230970522624
615,-2.636,0.04944967145591476
616,-2.6340000000000003,0.04945010605853164
617,-2.632,0.04945053416888975
618,-2.63,0.04945095519680817
619,-2.628,0.049451368571408624
620,-2.6260000000000003,0.04945177374111542
621,-2.624,0.04945217017365552
622,-2.622,0.04945255735605844
623,-2.62,0.04945293479465637
624,-2.6180000000000003,0.04945330201508409
625,-2.616,0.04945365856227899
626,-2.614,0.04945400400048109
627,-2.612,0.04945433791323301
628,-2.6100000000000003,0.049454659903379994
629,-2.608,0.04945496959306989
630,-2.606,0.04945526662375318
631,-2.604,0.049455550656182935
632,-2.6020000000000003,0.04945582137041487
633,-2.6,0.04945607846580729
634,-2.598,0.04945632166102113
635,-2.596,0.049456550694019934
636,-2.5940000000000003,0.04945676532206986
637,-2.592,0.049456965321739675
638,-2.59,0.04945715048890077
639,-2.588,0.04945732063872716
640,-2.5860000000000003,0.04945747560569546
641,-2.584,0.04945761524358489
642,-2.582,0.049457739425477314
643,-2.58,0.04945784804375718
644,-2.5780000000000003,0.04945794101011158
645,-2.576,0.049458018255530194
646,-2.574,0.04945807973030533
647,-2.572,0.04945812540403192
648,-2.5700000000000003,0.04945815526560749
649,-2.568,0.0494581693232322
650,-2.566,0.04945816760440881
651,-2.564,0.0494581501559427
652,-2.5620000000000003,0.049458117043941874
653,-2.56,0.04945806835381693
654,-2.558,0.0494580041902811
655,-2.556,0.04945792467735023
656,-2.5540000000000003,0.04945782995834277
657,-2.552,0.04945772019587978
658,-2.55,0.04945759557188496
659,-2.548,0.049457456287584606
660,-2.5460000000000003,0.04945730256350762
661,-2.544,0.04945713463948554
662,-2.542,0.049456952774652514
663,-2.54,0.04945675724744529
664,-2.5380000000000003,0.049456548355603244
665,-2.536,0.04945632641616837
666,-2.534,0.049456091765485266
667,-2.532,0.04945584475920115
