,_RG_fixed_x,_RG_fixed_y
509,-2.848,0.0
510,-2.846,0.0
511,-2.8440000000000003,0.0
512,-2.842,0.0
513,-2.84,0.0
514,-2.838,0.0
515,-2.8360000000000003,0.0
516,-2.834,0.0
517,-2.832,0.0
518,-2.83,0.0
519,-2.8280000000000003,0.0
520,-2.826,0.0
521,-2.824,0.0
522,-2.822,0.0
523,-2.8200000000000003,0.0
524,-2.818,0.0
525,-2.816,0.0
526,-2.814,0.0
527,-2.8120000000000003,0.0
528,-2.81,0.0
529,-2.808,0.0
530,-2.806,0.0
531,-2.8040000000000003,0.0
532,-2.802,0.0
533,-2.8,0.0
534,-2.798,0.0
535,-2.7960000000000003,0.0
536,-2.794,0.0
537,-2.792,0.0
538,-2.79,0.0
539,-2.7880000000000003,0.0
540,-2.786,0.0
541,-2.784,0.0
542,-2.782,0.0
543,-2.7800000000000002,0.0
544,-2.778,0.0
545,-2.776,0.0
546,-2.774,0.0
547,-2.7720000000000002,0.0
548,-2.77,0.0
549,-2.768,0.0
550,-2.766,0.0
551,-2.7640000000000002,0.0
552,-2.762,0.0
553,-2.76,0.0
554,-2.758,0.0
555,-2.7560000000000002,0.0
556,-2.754,0.0
557,-2.752,0.0
558,-2.75,0.0
559,-2.748,0.0
560,-2.746,0.0
561,-2.7439999999999998,0.0
562,-2.742,0.0
563,-2.74,0.0
564,-2.738,0.0
565,-2.7359999999999998,0.0
566,-2.734,0.0
567,-2.732,0.0
568,-2.73,0.0
569,-2.7279999999999998,0.0
570,-2.726,0.0
571,-2.724,0.0
572,-2.722,0.0
573,-2.7199999999999998,0.0
574,-2.718,0.0
575,-2.716,0.0
576,-2.714,0.0
577,-2.712,0.0
578,-2.71,0.0
579,-2.708,0.0
580,-2.7060000000000004,0.0
581,-2.704,0.0
582,-2.702,0.0
583,-2.7,0.0
584,-2.6980000000000004,0.0
585,-2.696,0.0
586,-2.694,0.0
587,-2.692,0.0
588,-2.6900000000000004,0.0
589,-2.688,0.0
590,-2.686,0.0
591,-2.684,0.0
592,-2.6820000000000004,0.0
593,-2.68,0.0
594,-2.678,0.0
595,-2.676,0.0
596,-2.6740000000000004,0.0
597,-2.672,0.0
598,-2.67,0.0
599,-2.668,0.0
600,-2.6660000000000004,0.0
601,-2.664,0.0
602,-2.662,0.0
603,-2.66,0.0
604,-2.6580000000000004,0.0
605,-2.656,0.0
606,-2.654,0.0
607,-2.652,0.0
608,-2.6500000000000004,0.0
609,-2.648,0.0
610,-2.646,0.0
611,-2.644,0.0
612,-2.6420000000000003,0.0
613,-2.64,0.0
614,-2.638,0.0
615,-2.636,0.0
616,-2.6340000000000003,0.0
617,-2.632,0.0
618,-2.63,0.0
619,-2.628,0.0
620,-2.6260000000000003,0.0
621,-2.624,0.0
622,-2.622,0.0
623,-2.62,0.0
624,-2.6180000000000003,0.0
625,-2.616,0.0
626,-2.614,0.0
627,-2.612,0.0
628,-2.6100000000000003,0.0
629,-2.608,0.0
630,-2.606,0.0
631,-2.604,0.0
632,-2.6020000000000003,0.0
633,-2.6,0.0
634,-2.598,0.0
635,-2.596,0.0
636,-2.5940000000000003,0.0
637,-2.592,0.0
638,-2.59,0.0
639,-2.588,0.0
640,-2.5860000000000003,0.0
641,-2.584,0.0
642,-2.582,0.0
643,-2.58,0.0
644,-2.5780000000000003,0.0
645,-2.576,0.0
646,-2.574,0.0
647,-2.572,0.0
648,-2.5700000000000003,0.0
649,-2.568,0.0
650,-2.566,0.0
651,-2.564,0.0
652,-2.5620000000000003,0.0
653,-2.56,0.0
654,-2.558,0.0
655,-2.556,0.0
