,control_x,control_y,duration_x,duration_y,intensity_x,intensity_y
139,-1.9699999999999998,0.0,-1.9899999999999998,0.0,-1.9699999999999998,0.0
140,-1.9599999999999997,0.0,-1.9799999999999998,0.0,-1.9599999999999997,0.0
141,-1.95,0.0,-1.97,0.0,-1.95,0.0
142,-1.94,0.0,-1.96,0.0,-1.94,0.0
143,-1.93,0.0,-1.95,0.0,-1.93,0.0
144,-1.92,0.0,-1.94,0.0,-1.92,0.0
145,-1.91,0.0,-1.93,0.0,-1.91,0.0
146,-1.9,0.0,-1.92,0.0,-1.9,0.0
147,-1.89,0.0,-1.91,0.0,-1.89,0.0
148,-1.88,0.0,-1.9,0.0,-1.88,0.0
149,-1.8699999999999999,0.0,-1.89,0.0,-1.8699999999999999,0.0
150,-1.8599999999999999,0.0,-1.88,0.0,-1.8599999999999999,0.0
151,-1.8499999999999999,0.0,-1.8699999999999999,0.0,-1.8499999999999999,0.0
152,-1.8399999999999999,0.0,-1.8599999999999999,0.0,-1.8399999999999999,0.0
153,-1.8299999999999998,0.0,-1.8499999999999999,0.0,-1.8299999999999998,0.0
154,-1.8199999999999998,0.0,-1.8399999999999999,0.0,-1.8199999999999998,0.0
155,-1.8099999999999998,0.0,-1.8299999999999998,0.0,-1.8099999999999998,0.0
156,-1.7999999999999998,0.0,-1.8199999999999998,0.0,-1.7999999999999998,0.0
157,-1.7899999999999998,0.0,-1.8099999999999998,0.0,-1.7899999999999998,0.0
158,-1.7799999999999998,0.0,-1.7999999999999998,0.0,-1.7799999999999998,0.0
159,-1.7699999999999998,0.0,-1.7899999999999998,0.0,-1.7699999999999998,0.0
160,-1.7599999999999998,0.0,-1.7799999999999998,0.0,-1.7599999999999998,0.0
161,-1.7499999999999998,0.0,-1.7699999999999998,0.0,-1.7499999999999998,0.0
162,-1.7399999999999998,0.0,-1.7599999999999998,0.0,-1.7399999999999998,0.0
163,-1.7299999999999998,0.0,-1.7499999999999998,0.0,-1.7299999999999998,0.0
164,-1.7199999999999998,0.0,-1.7399999999999998,0.0,-1.7199999999999998,0.0
165,-1.7099999999999997,0.0,-1.7299999999999998,0.0,-1.7099999999999997,0.0
166,-1.6999999999999997,0.0,-1.7199999999999998,0.0,-1.6999999999999997,0.0
167,-1.69,0.0,-1.71,0.0,-1.69,0.0
168,-1.68,0.0,-1.7,0.0,-1.68,0.0
169,-1.67,0.0,-1.69,0.0,-1.67,0.0
170,-1.66,0.0,-1.68,0.0,-1.66,0.0
171,-1.65,0.0,-1.67,0.0,-1.65,0.0
172,-1.64,0.0,-1.66,0.0,-1.64,0.0
173,-1.63,0.0,-1.65,0.0,-1.63,0.0
174,-1.6199999999999999,0.0,-1.64,0.0,-1.6199999999999999,0.0
175,-1.6099999999999999,0.0,-1.63,0.0,-1.6099999999999999,0.0
176,-1.5999999999999999,0.0,-1.6199999999999999,0.0,-1.5999999999999999,0.0
177,-1.5899999999999999,0.0,-1.6099999999999999,0.0,-1.5899999999999999,0.0
178,-1.5799999999999998,0.0,-1.5999999999999999,0.0,-1.5799999999999998,0.0
179,-1.5699999999999998,0.0,-1.5899999999999999,0.0,-1.5699999999999998,0.0
180,-1.5599999999999998,0.0,-1.5799999999999998,0.0,-1.5599999999999998,0.0
181,-1.5499999999999998,0.0,-1.5699999999999998,0.0,-1.5499999999999998,0.0
182,-1.5399999999999998,0.0,-1.5599999999999998,0.0,-1.5399999999999998,0.0
183,-1.5299999999999998,0.0,-1.5499999999999998,0.0,-1.5299999999999998,0.0
184,-1.5199999999999998,0.0,-1.5399999999999998,0.0,-1.5199999999999998,0.0
185,-1.5099999999999998,0.0,-1.5299999999999998,0.0,-1.5099999999999998,0.0
186,-1.4999999999999998,0.0,-1.5199999999999998,0.0,-1.4999999999999998,0.0
187,-1.4899999999999998,0.0,-1.5099999999999998,0.0,-1.4899999999999998,0.0
188,-1.4799999999999998,0.0,-1.4999999999999998,0.0,-1.4799999999999998,0.0
189,-1.4699999999999998,0.0,-1.4899999999999998,0.0,-1.4699999999999998,0.0
190,-1.4599999999999997,0.0,-1.4799999999999998,0.0,-1.4599999999999997,0.0
191,-1.4499999999999997,0.0,-1.4699999999999998,0.0,-1.4499999999999997,0.0
192,-1.44,0.0,-1.46,0.0,-1.44,0.0
193,-1.43,0.0,-1.45,0.0,-1.43,0.0
194,-1.42,0.0,-1.44,0.0,-1.42,0.0
195,-1.41,0.0,-1.43,0.0,-1.41,0.0
196,-1.4,0.0,-1.42,0.0,-1.4,0.0
197,-1.39,0.0,-1.41,0.0,-1.39,0.0
198,-1.38,0.0,-1.4,0.0,-1.38,0.0
199,-1.3699999999999999,0.0,-1.39,0.0,-1.3699999999999999,0.0
200,-1.3599999999999999,0.0,-1.38,0.0,-1.3599999999999999,0.0
201,-1.3499999999999996,0.0,-1.3699999999999997,0.0,-1.3499999999999996,0.0
202,-1.3399999999999999,0.0,-1.3599999999999999,0.0,-1.3399999999999999,0.0
203,-1.3299999999999996,0.0,-1.3499999999999996,0.0,-1.3299999999999996,0.0
204,-1.3199999999999998,0.0,-1.3399999999999999,0.0,-1.3199999999999998,0.0
205,-1.31,0.0,-1.33,0.0,-1.31,0.0
206,-1.2999999999999998,0.0,-1.3199999999999998,0.0,-1.2999999999999998,0.0
207,-1.29,0.0,-1.31,0.0,-1.29,0.0
208,-1.2799999999999998,0.0,-1.2999999999999998,0.0,-1.2799999999999998,0.0
209,-1.27,0.0,-1.29,0.0,-1.27,0.0
210,-1.2599999999999998,0.0,-1.2799999999999998,0.0,-1.2599999999999998,0.0
211,-1.25,0.0,-1.27,0.0,-1.25,0.0
212,-1.2399999999999998,0.0,-1.2599999999999998,0.0,-1.2399999999999998,0.0
213,-1.23,0.0,-1.25,0.0,-1.23,0.0
214,-1.2199999999999998,0.0,-1.2399999999999998,0.0,-1.2199999999999998,0.0
215,-1.21,0.0,-1.23,0.0,-1.21,0.0
216,-1.1999999999999997,0.0,-1.2199999999999998,0.0,-1.1999999999999997,0.0
217,-1.19,0.0,-1.21,0.0,-1.19,0.0
218,-1.1799999999999997,0.0,-1.1999999999999997,0.0,-1.1799999999999997,0.0
219,-1.17,0.0,-1.19,0.0,-1.17,0.0
220,-1.1599999999999997,0.0,-1.1799999999999997,0.0,-1.1599999999999997,0.0
221,-1.15,0.0,-1.17,0.0,-1.15,0.0
222,-1.1399999999999997,0.0,-1.1599999999999997,0.0,-1.1399999999999997,0.0
223,-1.13,0.0,-1.15,0.0,-1.13,0.0
224,-1.1199999999999997,0.0,-1.1399999999999997,0.0,-1.1199999999999997,0.0
225,-1.1099999999999999,0.0,-1.13,0.0,-1.1099999999999999,0.0
226,-1.0999999999999996,0.0,-1.1199999999999997,0.0,-1.0999999999999996,0.0
227,-1.0899999999999999,0.0,-1.1099999999999999,0.0,-1.0899999999999999,0.0
228,-1.0799999999999996,0.0,-1.0999999999999996,0.0,-1.0799999999999996,0.0
229,-1.0699999999999998,0.0,-1.0899999999999999,0.0,-1.0699999999999998,0.0
230,-1.0599999999999996,0.0,-1.0799999999999996,0.0,-1.0599999999999996,0.0
231,-1.0499999999999998,0.0,-1.0699999999999998,0.0,-1.0499999999999998,0.0
232,-1.04,0.0,-1.06,0.0,-1.04,0.0
233,-1.0299999999999998,0.0,-1.0499999999999998,0.0,-1.0299999999999998,0.0
234,-1.02,0.0,-1.04,0.0,-1.02,0.0
235,-1.0099999999999998,0.0,-1.0299999999999998,0.0,-1.0099999999999998,0.0
236,-1.0,0.0,-1.02,0.0,-1.0,0.0
237,-0.9899999999999998,0.0,-1.0099999999999998,0.0,-0.9899999999999998,0.0
238,-0.98,0.0,-1.0,0.0,-0.98,0.0
239,-0.9699999999999998,0.0,-0.9899999999999998,0.0,-0.9699999999999998,0.0
240,-0.96,0.0,-0.98,0.0,-0.96,0.0
241,-0.9499999999999997,0.0,-0.9699999999999998,0.0,-0.9499999999999997,0.0
242,-0.94,0.0,-0.96,0.0,-0.94,0.0
243,-0.9299999999999997,0.0,-0.9499999999999997,0.0,-0.9299999999999997,0.0
244,-0.9199999999999999,0.0,-0.94,0.0,-0.9199999999999999,0.0
245,-0.9099999999999997,0.0,-0.9299999999999997,0.0,-0.9099999999999997,0.0
246,-0.8999999999999999,0.0,-0.9199999999999999,0.0,-0.8999999999999999,0.0
247,-0.8899999999999997,0.0,-0.9099999999999997,0.0,-0.8899999999999997,0.0
248,-0.8799999999999999,0.0,-0.8999999999999999,0.0,-0.8799999999999999,0.0
249,-0.8699999999999997,0.0,-0.8899999999999997,0.0,-0.8699999999999997,0.0
250,-0.8599999999999999,0.0,-0.8799999999999999,0.0,-0.8599999999999999,0.0
251,-0.8499999999999996,0.0,-0.8699999999999997,0.0,-0.8499999999999996,0.0
252,-0.8399999999999999,0.0,-0.8599999999999999,0.0,-0.8399999999999999,0.0
253,-0.8299999999999996,0.0,-0.8499999999999996,0.0,-0.8299999999999996,0.0
254,-0.8199999999999998,0.0,-0.8399999999999999,0.0,-0.8199999999999998,0.0
255,-0.8099999999999996,0.0,-0.8299999999999996,0.0,-0.8099999999999996,0.0
256,-0.7999999999999998,0.0,-0.8199999999999998,0.0,-0.7999999999999998,0.0
257,-0.79,0.0,-0.81,0.0,-0.79,0.0
258,-0.7799999999999998,0.0,-0.7999999999999998,0.0,-0.7799999999999998,0.0
259,-0.77,0.0,-0.79,0.0,-0.77,0.0
260,-0.7599999999999998,0.0,-0.7799999999999998,0.0,-0.7599999999999998,0.0
261,-0.75,0.0,-0.77,0.0,-0.75,0.0
262,-0.7399999999999998,0.0,-0.7599999999999998,0.0,-0.7399999999999998,0.0
263,-0.73,0.0,-0.75,0.0,-0.73,0.0
264,-0.7199999999999998,0.0,-0.7399999999999998,0.0,-0.7199999999999998,0.0
265,-0.71,0.0,-0.73,0.0,-0.71,0.0
266,-0.6999999999999997,0.0,-0.7199999999999998,0.0,-0.6999999999999997,0.0
267,-0.69,0.0,-0.71,0.0,-0.69,0.0
268,-0.6799999999999997,0.0,-0.6999999999999997,0.0,-0.6799999999999997,0.0
269,-0.6699999999999999,0.0,-0.69,0.0,-0.6699999999999999,0.0
270,-0.6599999999999997,0.0,-0.6799999999999997,0.0,-0.6599999999999997,0.0
271,-0.6499999999999999,0.0,-0.6699999999999999,0.0,-0.6499999999999999,0.0
272,-0.6399999999999997,0.0,-0.6599999999999997,0.0,-0.6399999999999997,0.0
273,-0.6299999999999999,0.0,-0.6499999999999999,0.0,-0.6299999999999999,0.0
274,-0.6199999999999997,0.0,-0.6399999999999997,0.0,-0.6199999999999997,0.0
275,-0.6099999999999999,0.0,-0.6299999999999999,0.0,-0.6099999999999999,0.0
276,-0.5999999999999996,0.0,-0.6199999999999997,0.0,-0.5999999999999996,0.0
277,-0.5899999999999999,0.0,-0.6099999999999999,0.0,-0.5899999999999999,0.0
278,-0.5799999999999996,0.0,-0.5999999999999996,0.0,-0.5799999999999996,0.0
279,-0.5699999999999998,0.0,-0.5899999999999999,0.0,-0.5699999999999998,0.0
280,-0.5599999999999996,0.0,-0.5799999999999996,0.0,-0.5599999999999996,0.0
281,-0.5499999999999998,0.0,-0.5699999999999998,0.0,-0.5499999999999998,0.0
282,-0.54,0.0,-0.56,0.0,-0.54,0.0
283,-0.5299999999999998,0.0,-0.5499999999999998,0.0,-0.5299999999999998,0.0
284,-0.52,0.0,-0.54,0.0,-0.52,0.0
285,-0.5099999999999998,0.0,-0.5299999999999998,0.0,-0.5099999999999998,0.0
286,-0.5,0.0,-0.52,0.0,-0.5,0.0
287,-0.48999999999999977,0.0,-0.5099999999999998,0.0,-0.48999999999999977,0.0
288,-0.48,0.0,-0.5,0.0,-0.48,0.0
289,-0.46999999999999975,0.0,-0.48999999999999977,0.0,-0.46999999999999975,0.0
