,_dynamic_x,_dynamic_y,_fixed_x,_fixed_y
133,-2.456,0.0,-2.456,0.0
134,-2.4539999999999997,0.0,-2.4539999999999997,0.0
135,-2.452,0.0,-2.452,0.0
136,-2.45,0.0,-2.45,0.0
137,-2.448,0.0,-2.448,0.0
138,-2.4459999999999997,0.0,-2.4459999999999997,0.0
139,-2.444,0.0,-2.444,0.0
140,-2.442,0.0,-2.442,0.0
141,-2.44,0.0,-2.44,0.0
142,-2.4379999999999997,0.0,-2.4379999999999997,0.0
143,-2.436,0.0,-2.436,0.0
144,-2.434,0.0,-2.434,0.0
145,-2.432,0.0,-2.432,0.0
146,-2.43,0.0,-2.43,0.0
147,-2.428,0.0,-2.428,0.0
148,-2.426,0.0,-2.426,0.0
149,-2.424,0.0,-2.424,0.0
150,-2.422,0.0,-2.422,0.0
151,-2.42,0.0,-2.42,0.0
152,-2.418,0.0,-2.418,0.0
153,-2.416,0.0,-2.416,0.0
154,-2.414,0.0,-2.414,0.0
155,-2.412,0.0,-2.412,0.0
156,-2.41,0.0,-2.41,0.0
157,-2.408,0.0,-2.408,0.0
158,-2.406,0.0,-2.406,0.0
159,-2.404,0.0,-2.404,0.0
160,-2.402,0.0,-2.402,0.0
161,-2.4,0.0,-2.4,0.0
162,-2.398,0.0,-2.398,0.0
163,-2.396,0.0,-2.396,0.0
164,-2.394,0.0,-2.394,0.0
165,-2.392,0.0,-2.392,0.0
166,-2.39,0.0,-2.39,0.0
167,-2.388,0.0,-2.388,0.0
168,-2.386,0.0,-2.386,0.0
169,-2.384,0.0,-2.384,0.0
170,-2.382,0.0,-2.382,0.0
171,-2.38,0.0,-2.38,0.0
172,-2.378,0.0,-2.378,0.0
