,luminance
1347,51
1348,74
1349,100
1350,127
1351,155
1352,182
1353,205
1354,223
1355,236
1356,241
1357,240
1358,231
1359,216
1360,195
1361,170
1362,142
1363,113
1364,85
1365,59
1366,37
1367,21
1368,12
1369,10
1370,15
1371,27
1372,46
1373,70
1374,98
1375,127
1376,157
1377,186
1378,210
1379,230
1380,243
1381,249
1382,248
1383,238
1384,222
1385,200
1386,173
1387,143
1388,112
1389,82
1390,54
1391,31
1392,14
1393,4
1394,2
1395,7
1396,21
1397,41
1398,66
1399,96
1400,128
1401,128
1402,128
1403,128
1404,128
1405,128
1406,128
1407,128
1408,128
1409,128
1410,128
1411,128
1412,128
1413,128
1414,128
1415,128
1416,128
1417,128
1418,128
1419,128
1420,128
1421,128
1422,128
1423,128
1424,128
1425,128
1426,128
1427,128
1428,128
1429,128
1430,128
1431,128
1432,128
1433,128
1434,128
1435,128
1436,128
1437,128
1438,128
1439,128
1440,128
1441,128
1442,128
1443,128
1444,128
1445,128
1446,128
1447,128
1448,128
1449,128
1450,128
1451,128
1452,128
1453,128
1454,128
1455,128
1456,128
1457,128
1458,128
1459,128
1460,128
1461,128
1462,128
1463,128
1464,128
1465,128
1466,128
1467,128
1468,128
1469,128
1470,128
1471,128
1472,128
1473,128
1474,128
1475,128
1476,128
1477,128
1478,128
1479,128
1480,128
1481,128
1482,128
1483,128
1484,128
1485,128
1486,128
1487,128
1488,128
1489,128
1490,128
1491,128
1492,128
1493,128
1494,128
1495,128
1496,128
1497,128
1498,128
1499,128
